"'Loco csv export: Comma separated values"
"'Project: po_synaptic-uz.po conversion"
"'Release: Working copy"
"'Locales: ru-UZ, uz"
"'Exported by: Unregistered user"
"'Exported at: Fri, 28 Jan 2022 11:53:12 +0500"
"Asset ID","Russian (Uzbekistan), ru-UZ","Uzbek, uz","Notes"
"system-administration","System Administration","Тизимни бошқариш","TRANSLATORS: Alias for the Debian package section ""admin"""
"base-system","Base System","Асосий тизим","TRANSLATORS: Alias for the Debian package section ""base"""
"mono-cli-infrastructure","Mono/CLI Infrastructure","","TRANSLATORS: Alias for the Debian package section ""cli-mono"""
"Communication","Communication","Алоқа","TRANSLATORS: Alias for the Debian package section ""comm"""
"Databases","Databases","Маълумот базалари","TRANSLATORS: Alias for the Debian package section ""database"""
"Development","Development","Дастурлаш","TRANSLATORS: Alias for the Debian package section ""devel"""
"Documentation","Documentation","Қўлланмалар","TRANSLATORS: Alias for the Debian package section ""doc"""
"Debug","Debug","","TRANSLATORS: Alias for the Debian package section ""debug"""
"Editors","Editors","Муҳаррирлар","TRANSLATORS: Alias for the Debian package section ""editors"""
"Electronics","Electronics","Электроника","TRANSLATORS: Alias for the Debian package section ""electronics"""
"embedded-devices","Embedded Devices","Ички қурилмалар","TRANSLATORS: Alias for the Debian package section ""embedded"""
"Fonts","Fonts","","TRANSLATORS: Alias for the Debian package section ""fonts"""
"games-and-amusement","Games and Amusement","Ўйинлар ва вақтичоғлик","TRANSLATORS: Alias for the Debian package section ""games"""
"gnome-desktop-environment","GNOME Desktop Environment","GNOME иш столи муҳити","TRANSLATORS: Alias for the Debian package section ""gnome"""
"Graphics","Graphics","Графика","TRANSLATORS: Alias for the Debian package section ""graphics"""
"gnu-r-statistical-system","GNU R statistical system","","TRANSLATORS: Alias for the Debian package section ""gnu-r"""
"gnustep-desktop-environment","Gnustep Desktop Environment","","TRANSLATORS: Alias for the Debian package section ""gnustep"""
"amateur-radio","Amateur Radio","","TRANSLATORS: Alias for the Debian package section ""hamradio"""
"haskell-programming-language","Haskell Programming Language","","TRANSLATORS: Alias for the Debian package section ""haskell"""
"web-servers","Web servers","","TRANSLATORS: Alias for the Debian package section ""httpd"""
"interpreted-computer-languages","Interpreted Computer Languages","Интерпраторланган компьютер тиллари","TRANSLATORS: Alias for the Debian package section ""interpreters"""
"java-programming-language","Java Programming Language","","TRANSLATORS: Alias for the Debian package section ""java"""
"kde-desktop-environment","KDE Desktop Environment","KDE Иш столи муҳити","TRANSLATORS: Alias for the Debian package section ""KDE"""
"kernel-and-modules","Kernel and modules","","TRANSLATORS: Alias for the Debian package section ""kernel"""
"libraries-development","Libraries - Development","Кутубхоналар - Дастурлаш","TRANSLATORS: Alias for the Debian package section ""libdevel"""
